loco_id,ID,Type,Item,License,Daily_maintenance_in [h],long_term_maintenance_begin,long_term_maintenance_end,location,H_E,H_D,N_E,loco_metatype,loco_req
23,Type7 - 19,Type7,19,PL,,,,,,,,N_D,Type7
24,Type7 - 242,Type7,242,PL,,,,,,,,N_D,Type7
31,Type7 - 233,Type7,233,PL,,,,,,,,N_D,Type7
38,Type7 - 144,Type7,144,PL,,,,,,,,N_D,Type7
39,Type7 - 282,Type7,282,PL,,,,,,,,N_D,Type7
48,Type7 - 185,Type7,185,PL,,,,,,,,N_D,Type7
49,Type7 - 256,Type7,256,PL,,,,,,,,N_D,Type7
50,Type7 - 104,Type7,104,PL,,,,,,,,N_D,Type7
51,Type7 - 83,Type7,83,PL,,,,,,,,N_D,Type7
63,Type7 - 25,Type7,25,PL,,,,,,,,N_D,Type7
64,Type7 - 216,Type7,216,PL,,,,,,,,N_D,Type7
65,Type7 - 307,Type7,307,PL,,,,,,,,N_D,Type7
66,Type7 - 306,Type7,306,PL,,,,,,,,N_D,Type7
92,Type7 - 278,Type7,278,PL,,,,,,,,N_D,Type7
103,Type7 - 4,Type7,4,PL,,,,,,,,N_D,Type7
107,Type7 - 260,Type7,260,PL,,,,,,,,N_D,Type7
117,Type7 - 27,Type7,27,PL,,,,,,,,N_D,Type7
118,Type7 - 283,Type7,283,PL,,,,,,,,N_D,Type7
127,Type7 - 91,Type7,91,PL,,,,,,,,N_D,Type7
128,Type7 - 97,Type7,97,PL,,,,,,,,N_D,Type7
129,Type7 - 134,Type7,134,PL,,,,,,,,N_D,Type7
130,Type7 - 186,Type7,186,PL,,,,,,,,N_D,Type7
131,Type7 - 190,Type7,190,PL,,,,,,,,N_D,Type7
132,Type7 - 230,Type7,230,PL,,,,,,,,N_D,Type7
133,Type7 - 263,Type7,263,PL,,,,,,,,N_D,Type7
134,Type7 - 281,Type7,281,PL,,,,,,,,N_D,Type7
15,Type8 - 7,Type8,7,PL,,,,,,,,N_E,Type8
40,Type8 - 39,Type8,39,PL,,,,,,,,N_E,Type8
58,Type8 - 350,Type8,350,PL,,,,,,,,N_E,Type8
59,Type8 - 4,Type8,4,PL,,,,,,,,N_E,Type8
94,Type8 - 3,Type8,3,PL,,,,,,,,N_E,Type8
96,Type8 - 9,Type8,9,PL,,,,,,,,N_E,Type8
101,Type8 - 67,Type8,67,PL,,,,,,,,N_E,Type8
95,Type8 - 5,Type8,5,PL,,,,,,,,N_E,Type8
97,Type8 - 2,Type8,2,PL,,,,,,,,N_E,Type8
98,Type8 - 30,Type8,30,PL,,,,,,,,N_E,Type8
99,Type8 - 31,Type8,31,PL,,,,,,,,N_E,Type8
100,Type8 - 63,Type8,63,PL,,,,,,,,N_E,Type8
102,Type8 - 76,Type8,76,PL,,,,,,,,N_E,Type8
105,Type8 - 54,Type8,54,PL,,,,,,,,N_E,Type8
1001,Type1 - 1001,Type1,1001,PL,,,,,,,,0,Type1
1002,Type1 - 1002,Type1,1002,,,,,,,,,0,Type1
1003,Type2 - 1003,Type2,1003,,,,,,,,,0,Type2
1004,Type3 - 1004,Type3,1004,,,,,,,,,0,Type3
1005,Type3 - 1005,Type3,1005,,,,,,,,,0,Type3
1006,Type3 - 1006,Type3,1006,,,,,,,,,0,Type3
1007,Type3 - 1007,Type3,1007,,,,,,,,,0,Type3
1008,Type3 - 1008,Type3,1008,,,,,,,,,0,Type3
1009,Type3 - 1009,Type3,1009,,,,,,,,,0,Type3
1010,Type3 - 1010,Type3,1010,,,,,,,,,0,Type3
1011,Type3 - 1011,Type3,1011,,,,,,,,,0,Type3
1012,Type3 - 1012,Type3,1012,,,,,,,,,0,Type3
1013,Type3 - 1013,Type3,1013,,,,,,,,,0,Type3
1014,Type3 - 1014,Type3,1014,,,,,,,,,0,Type3
1015,Type3 - 1015,Type3,1015,,,,,,,,,0,Type3
1016,Type3 - 1016,Type3,1016,,,,,,,,,0,Type3
1017,Type3 - 1017,Type3,1017,,,,,,,,,0,Type3
1018,Type3 - 1018,Type3,1018,,,,,,,,,0,Type3
1019,Type3 - 1019,Type3,1019,,,,,,,,,0,Type3
1020,Type3 - 1020,Type3,1020,,,,,,,,,0,Type3
1021,Type3 - 1021,Type3,1021,,,,,,,,,0,Type3
1022,Type3 - 1022,Type3,1022,,,,,,,,,0,Type3
1023,Type3 - 1023,Type3,1023,,,,,,,,,0,Type3
1024,Type3 - 1024,Type3,1024,,,,,,,,,0,Type3
1025,Type3 - 1025,Type3,1025,,,,,,,,,0,Type3
1026,Type3 - 1026,Type3,1026,,,,,,,,,0,Type3
1027,Type3 - 1027,Type3,1027,,,,,,,,,0,Type3
1028,Type3 - 1028,Type3,1028,,,,,,,,,0,Type3
1029,Type3 - 1029,Type3,1029,,,,,,,,,0,Type3
1030,Type3 - 1030,Type3,1030,,,,,,,,,0,Type3
1031,Type3 - 1031,Type3,1031,,,,,,,,,0,Type3
1032,Type3 - 1032,Type3,1032,,,,,,,,,0,Type3
1033,Type3 - 1033,Type3,1033,,,,,,,,,0,Type3
1034,Type3 - 1034,Type3,1034,,,,,,,,,0,Type3
1035,Type3 - 1035,Type3,1035,,,,,,,,,0,Type3
1036,Type3 - 1036,Type3,1036,,,,,,,,,0,Type3
1037,Type3 - 1037,Type3,1037,,,,,,,,,0,Type3
1038,Type3 - 1038,Type3,1038,,,,,,,,,0,Type3
1039,Type3 - 1039,Type3,1039,,,,,,,,,0,Type3
1040,Type3 - 1040,Type3,1040,,,,,,,,,0,Type3
1041,Type3 - 1041,Type3,1041,,,,,,,,,0,Type3
1042,Type3 - 1042,Type3,1042,,,,,,,,,0,Type3
1043,Type3 - 1043,Type3,1043,,,,,,,,,0,Type3
1044,Type3 - 1044,Type3,1044,,,,,,,,,0,Type3
1045,Type3 - 1045,Type3,1045,,,,,,,,,0,Type3
1046,Type3 - 1046,Type3,1046,,,,,,,,,0,Type3
1047,Type3 - 1047,Type3,1047,,,,,,,,,0,Type3
1048,Type3 - 1048,Type3,1048,,,,,,,,,0,Type3
1049,Type3 - 1049,Type3,1049,,,,,,,,,0,Type3
1050,Type3 - 1050,Type3,1050,,,,,,,,,0,Type3
1051,Type3 - 1051,Type3,1051,,,,,,,,,0,Type3
1052,Type3 - 1052,Type3,1052,,,,,,,,,0,Type3
1053,Type3 - 1053,Type3,1053,,,,,,,,,0,Type3
1054,Type3 - 1054,Type3,1054,,,,,,,,,0,Type3
1055,Type3 - 1055,Type3,1055,,,,,,,,,0,Type3
1056,Type3 - 1056,Type3,1056,,,,,,,,,0,Type3
1057,Type3 - 1057,Type3,1057,,,,,,,,,0,Type3
1058,Type3 - 1058,Type3,1058,,,,,,,,,0,Type3
1059,Type3 - 1059,Type3,1059,,,,,,,,,0,Type3
1060,Type3 - 1060,Type3,1060,,,,,,,,,0,Type3
1061,Type3 - 1061,Type3,1061,,,,,,,,,0,Type3
1062,Type3 - 1062,Type3,1062,,,,,,,,,0,Type3
1063,Type3 - 1063,Type3,1063,,,,,,,,,0,Type3
1064,Type3 - 1064,Type3,1064,,,,,,,,,0,Type3
1065,Type3 - 1065,Type3,1065,,,,,,,,,0,Type3
1066,Type3 - 1066,Type3,1066,,,,,,,,,0,Type3
1067,Type3 - 1067,Type3,1067,,,,,,,,,0,Type3
1068,Type3 - 1068,Type3,1068,,,,,,,,,0,Type3
1069,Type3 - 1069,Type3,1069,,,,,,,,,0,Type3
1070,Type3 - 1070,Type3,1070,,,,,,,,,0,Type3
1071,Type3 - 1071,Type3,1071,,,,,,,,,0,Type3
1072,Type3 - 1072,Type3,1072,,,,,,,,,0,Type3
1073,Type3 - 1073,Type3,1073,,,,,,,,,0,Type3
1074,Type3 - 1074,Type3,1074,,,,,,,,,0,Type3
1075,Type3 - 1075,Type3,1075,,,,,,,,,0,Type3
1076,Type3 - 1076,Type3,1076,,,,,,,,,0,Type3
1077,Type3 - 1077,Type3,1077,,,,,,,,,0,Type3
1316,Type2 - 1316,Type2,1316,,,,,,,,,0,Type2
1317,Type2 - 1317,Type2,1317,,,,,,,,,0,Type2
1318,Type2 - 1318,Type2,1318,,,,,,,,,0,Type2
1319,Type2 - 1319,Type2,1319,,,,,,,,,0,Type2
1320,Type2 - 1320,Type2,1320,,,,,,,,,0,Type2
1321,Type2 - 1321,Type2,1321,,,,,,,,,0,Type2
1322,Type2 - 1322,Type2,1322,,,,,,,,,0,Type2
1323,Type2 - 1323,Type2,1323,,,,,,,,,0,Type2
